title,description,content,published_at,source,url
Welcome to the Era of Relational Intelligence,"As AI begins to transform education, work, and social life, we need to focus
on developing and expanding capacities essential for human flourishing.","Every morning at 74th Street Elementary School in South Los Angeles, a small figure walks briskly through the front gate. Her name is Linda Ricks; shes a retired office manager and lifelong community… [+34936 chars]",2026-03-03T13:00:00Z,Ssir.org,https://ssir.org/articles/entry/era-of-relational-intelligence
"Belgium’s €3.4B Marketing Goldmine: How Bancontact, Bureaucrats, and Growth Engineers Built Europe’s Weirdest Success Story","Inside the accidental digital revolution where compliance becomes competitive advantage, AI kills SEO, and speaking Dutch pays better than Silicon Valley tactics ","Belgiums 1.98 Billion Digital Ad Revolution: How Shopify, Bancontact, and Brussels Bureaucrats Built Europes Weirdest Marketing Goldmine
Plus: Why your startups growth strategy is about to become ex… [+11165 chars]",2026-03-03T12:47:07Z,Beehiiv.com,http://waffle-wednesday-77debe.beehiiv.com/p/belgium-s-3-4b-marketing-goldmine-how-bancontact-bureaucrats-and-growth-engineers-built-europe-s-wei
VerveSemi Closes $10 Million Fundraise to Accelerate Analog-AI Innovation; Transaction Managed by Six Stone Capital,VerveSemi Closes $10 Million Fundraise to Accelerate Analog-AI Innovation; Transaction Managed by Six Stone Capital,"In a massive win for Indias deep-tech ecosystem, fabless semiconductor innovator VerveSemi has officially closed a $10 million Series A funding round.
Led by ace investor Ashish Kacholia and Unicorn… [+1717 chars]",2026-03-03T12:42:28Z,BusinessLine,https://www.thehindubusinessline.com/brandhub/pr-release/vervesemi-closes-10-million-fundraise-to-accelerate-analog-ai-innovation-transaction-managed-by-six-stone-capital/article70698131.ece
ZenaTech’s ZenaDrone Advances U.S. Defense and Congressional Engagement with Blue UAS-Aligned Drone Development,"VANCOUVER, British Columbia, March 03, 2026 (GLOBE NEWSWIRE) -- In light of current international events, ZenaTech, Inc. (Nasdaq: ZENA) (FSE: 49Q) (BMV: ZENA) (""ZenaTech""), a technology solution provider specializing in AI (Artificial Intelligence) drone, Dro…","VANCOUVER, British Columbia, March 03, 2026 (GLOBE NEWSWIRE) -- In light of current international events, ZenaTech, Inc. (Nasdaq: ZENA) (FSE: 49Q) (BMV: ZENA) (""ZenaTech""), a technology solution prov… [+9677 chars]",2026-03-03T12:30:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2026/03/03/3248231/0/en/ZenaTech-s-ZenaDrone-Advances-U-S-Defense-and-Congressional-Engagement-with-Blue-UAS-Aligned-Drone-Development.html
Preparing for AI-Enabled Bioweapons,"The prospect of bioweapons developed by non-state actors has lent new urgency to multilateral pandemic preparation and response efforts. Yet at a time when AI has made such threats exponentially greater, the funding model that sustains critical health-securit…",The prospect of bioweapons developed by non-state actors has lent new urgency to multilateral pandemic preparation and response efforts. Yet at a time when AI has made such threats exponentially grea… [+5956 chars],2026-03-03T12:01:59Z,Project Syndicate,https://www.project-syndicate.org/commentary/ai-bio-threats-global-health-security-by-sania-nishtar-2026-03
Dayton Children’s Whitlock Says Issues at the Heart of Epic/Health Gorilla Lawsuit Could Threaten Trust That Holds TEFCA Together,"The U.S. healthcare system is racing to connect its data networks, deploy AI at scale, and prepare for a demographic wave that will strain every resource it has. The panelists at ViVE 2026’s “Make Health Tech Great Again” session agreed on the destination. Wh…","J.D. Whitlock, CIO, Dayton Children’s Hospital
The U.S. healthcare system is racing to connect its data networks, deploy AI at scale, and prepare for a demographic wave that will strain every resour… [+7069 chars]",2026-03-03T12:00:47Z,Healthsystemcio.com,https://healthsystemcio.com/2026/03/03/dayton-childrens-whitlock-says-issues-at-the-heart-of-epic-health-gorilla-lawsuit-could-threaten-trust-that-holds-tefca-together/
America’s $10 Trillion War Machine Still Runs on Chinese Rare Earths,"The U.S. government spends roughly $900 billion on defense each year. The private aerospace and defense sector generates close to $1 trillion in annual revenue. Over the next five years, nearly $10 trillion will flow through production lines that build fighte…","Brazil, already South America's largest…
Battery rental programs are emerging…
The UK has signed a…
By Michael Kern - Mar 03, 2026, 6:00 AM CSTThe U.S. government spends roughly $900 billion on de… [+13034 chars]",2026-03-03T12:00:00Z,OilPrice.com,https://oilprice.com/Energy/Energy-General/Americas-10-Trillion-War-Machine-Still-Runs-on-Chinese-Rare-Earths.html
Nvidia invests $2bn each in Lumentum and Coherent for AI optics R&D,"Nvidia is investing $2bn each in Lumentum and Coherent, aimed at advancing R&D in advanced optical technologies for future AI infrastructure.",Nvidia is investing $2bn each in Lumentum Holdings and Coherent as part of separate multiyear agreements aimed at advancing research and development (R&amp;D) in advanced optical technologies for fut… [+4592 chars],2026-03-03T11:44:29Z,Verdict,https://www.verdict.co.uk/nvidia-invests-lumentum-coherent/
Mycoverse secures funding to replace chemical pesticide,Copenhagen-area AgTech startup Mycoverse has secured €2.4 million in pre-seed equity financing to advance a biological crop protection platform that uses fungi to replace or reduce ...,Copenhagen-area AgTech startup Mycoverse has secured 2.4 million in pre-seed equity financing to advance a biological crop protection platform that uses fungi to replace or reduce chemical pesticides… [+3649 chars],2026-03-03T11:43:48Z,The Next Web,https://thenextweb.com/news/mycoverse-raises-e2-4m-pre-seed-to-develop-fungal-based-biological-crop-protection
Making sense of Anthropic’s fight with the Pentagon—and OpenAI’s opportunity,Anthropic—valued at $380 billion—faces what my colleague Jeremy Kahn calls “the biggest crisis in its five-year existence.”,"Turn on to politics, or politics will turn on you. Thats a famous line from perennial presidential candidate Ralph Nader from more than 20 years ago, and it echoes back to what Greek general Pericles… [+8795 chars]",2026-03-03T11:40:16Z,Fortune,https://fortune.com/2026/03/03/anthropic-fight-with-the-pentagonand-openai-opportunity/
Investor Reminder: Fermi Inc. Faces Federal Securities Fraud Allegations after Stock Drops 33% -- Contact BFA Law before Friday’s March 6 Court Deadline (NASDAQ: FRMI),Fermi Inc. Faces Federal Securities Fraud Allegations after Stock Drops 33% -- Contact BFA Law before Friday’s March 6 Court Deadline ...,"NEW YORK, March 03, 2026 (GLOBE NEWSWIRE) -- Leading securities law firm Bleichmar Fonti &amp; Auld LLP announces that a class action lawsuit has been filed against Fermi Inc. (NASDAQ: FRMI), certain… [+4786 chars]",2026-03-03T11:33:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2026/03/03/3248146/0/en/Investor-Reminder-Fermi-Inc-Faces-Federal-Securities-Fraud-Allegations-after-Stock-Drops-33-Contact-BFA-Law-before-Friday-s-March-6-Court-Deadline-NASDAQ-FRMI.html
Dollar surge pressures crypto markets after escalation in Iran conflict,"Risk assets fell across the board Tuesday as the U.S. dollar strengthened to a near two-month high following renewed military escalation in Iran, pressuring the crypto market.","The crypto market, U.S. equities and precious metals all tumbled on Tuesday as the dollar index (DXY) rose by 0.5% since midnight UTC to its highest level since Jan. 19.
The risk-off sentiment comes… [+2746 chars]",2026-03-03T11:30:00Z,CoinDesk,https://www.coindesk.com/markets/2026/03/03/dollar-surge-pressures-crypto-and-gold-after-escalation-in-iran-conflict
"$1.92 Trillion Artificial Intelligence (AI) in Healthcare Market Trends and Global Long-term Forecasts, 2026-2040","AI in healthcare presents significant opportunities to enhance diagnostic accuracy, personalize treatment, and improve patient management through predictive analytics and precision medicine. Key drivers include chronic disease prevalence, aging populations, v…","Dublin, March 03, 2026 (GLOBE NEWSWIRE) -- The ""Artificial Intelligence (AI) in Healthcare Market, till 2040: Distribution by Type of Platform, Type of Component, Type of Application, Type of Technol… [+9299 chars]",2026-03-03T11:29:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2026/03/03/3248137/28124/en/1-92-Trillion-Artificial-Intelligence-AI-in-Healthcare-Market-Trends-and-Global-Long-term-Forecasts-2026-2040.html
AI in Genomics Market Research and Global Forecast Report 2026-2040 - Machine Learning-Driven Drug Discovery and Strategic Tech-Pharma Collaborations Fuel Growth,"AI in genomics offers transformative opportunities by enhancing drug discovery and personalized medicine through efficient genomic data analysis. Drivers include the surge in genomic data, the focus on precision therapy, and decreased computational costs. Cha…","Dublin, March 03, 2026 (GLOBE NEWSWIRE) -- The ""AI in Genomics Market, till 2040: Distribution by Type of Component, Type of Technology, Type of Functionality, Type of Application, Type of End User, … [+10192 chars]",2026-03-03T11:20:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2026/03/03/3248132/28124/en/AI-in-Genomics-Market-Research-and-Global-Forecast-Report-2026-2040-Machine-Learning-Driven-Drug-Discovery-and-Strategic-Tech-Pharma-Collaborations-Fuel-Growth.html
SoftBank’s $30 billion OpenAI bet spurs S&P credit outlook cut,The revised outlook follows SoftBank’s decision last month to deepen its investment in the ChatGPT maker after already injecting more than $30 billion into OpenAI and funding other artificial intelligence ventures.,"S&amp;P Global Inc. lowered its outlook for SoftBank Group Corp. to negative from stable, saying plans for an additional $30 billion investment in OpenAI may hurt the Japanese companys liquidity and … [+2880 chars]",2026-03-03T11:12:14Z,The Times of India,https://economictimes.indiatimes.com/tech/technology/softbanks-30-billion-openai-bet-spurs-sp-credit-outlook-cut/articleshow/128968065.cms
£271 million to clean up shipping and power coastal communities,"This funding will boost skilled jobs and coastal economies, and forms part of a £448 million commitment to clean maritime funding.","<ul><li>over £270 million investment for greener shipping and ports across the UK,supporting thousands of skilled jobs in coastal towns and backing their rejuvenation
</li><li>funding will develop c… [+2568 chars]",2026-03-03T11:06:08Z,Www.gov.uk,https://www.gov.uk/government/news/271-million-to-clean-up-shipping-and-power-coastal-communities
Automation and Control in Water and Wastewater Industry Business Report 2026: Market to Expand by $1.5 Billion Between 2024-2030 - Public-Private Partnerships Facilitate Infrastructure Modernization,"The market for Automation and Control in Water and Wastewater is driven by the need for efficient resource management and regulation compliance. Key opportunities include adopting technologies like AI, IoT, and SCADA for enhanced monitoring and maintenance. G…","Dublin, March 03, 2026 (GLOBE NEWSWIRE) -- The ""Automation and Control in Water and Wastewater Market - Global Strategic Business Report"" report has been added to ResearchAndMarkets.com's offering.
… [+8379 chars]",2026-03-03T11:02:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2026/03/03/3248127/28124/en/Automation-and-Control-in-Water-and-Wastewater-Industry-Business-Report-2026-Market-to-Expand-by-1-5-Billion-Between-2024-2030-Public-Private-Partnerships-Facilitate-Infrastructure.html
Healthcare Consulting Services Market Size to Hit USD 77.19 Billion by 2035 Amid Digital Transformation and Value-Based Care Acceleration – SNS Insider,"Rising regulatory complexity, AI-driven analytics adoption, and operational efficiency mandates propel global market at 9.37% CAGR through 2035 Rising regulatory complexity, AI-driven analytics adoption, and operational efficiency mandates propel global marke…","Austin, United States, March 03, 2026 (GLOBE NEWSWIRE) -- Healthcare Consulting Services Market Size &amp; Growth Analysis:
According to SNS Insider, The Healthcare Consulting Services Market size i… [+9614 chars]",2026-03-03T11:00:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2026/03/03/3248121/0/en/Healthcare-Consulting-Services-Market-Size-to-Hit-USD-77-19-Billion-by-2035-Amid-Digital-Transformation-and-Value-Based-Care-Acceleration-SNS-Insider.html
Britain’s Political Eruption,"And you don’t have to be much of a political strategist to work out that voters are going to punish a social democratic party for not looking after the health sector, or for a weak economy—one a core trusted issue, the other a basic test of government compete…","One of the mysteries of the current British Labour government has been its obsession with the party group known as Blue Labour, which espouses a form of social democracy that marries social conservat… [+10168 chars]",2026-03-03T10:39:59Z,Resilience,https://www.resilience.org/stories/2026-03-03/britains-political-eruption/
"Open Channels FM: What’s New at CloudFest Hackathon 2026: Trends, Changes, and Creative Energy","In this episode enjoy a chat about the CloudFest Hackathon 2026's history, future initiatives, and community engagement, emphasizing inclusivity, mentorship, and project sustainability.","Anne Bovelett:Hello everyone, welcome to a new episode on Open Channels FM, and today We’re speaking about the Cloud Fest Hackathon 2026. With me are Carole Olinger, Pascal Birchler, and Simon Kraft.… [+36257 chars]",2026-03-03T10:22:42Z,Openchannels.fm,https://openchannels.fm/whats-new-at-cloudfest-hackathon-2026-trends-changes-and-creative-energy/
